OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,76,ביר אל מכסור,998,מועצה מקומית,צפון,ביר אל מכסור,0998,0,11,105,9,25,89,2,116,122,2,5,2,77,101,13.040265640839841,5.828102133286398,202405,21761.917559634555801,5828102.133286397904158
-1,210,בית ג'ן,480,מועצה מקומית,צפון,בית ג'ן,0480,1,10,357,15,75,275,15,368,312,2,4,0,214,241,29.170423582454699,7.199072697947036,202405,17571.475836228742992,7199072.697947036474943
-1,127,בית דגן,466,מועצה מקומית,מרכז,בית דגן,0466,0,4,156,11,18,122,18,160,240,19,6,4,142,200,89.454912808520220,1.419709616975936,202405,6676.810543990974111,1419709.616975936107337
-1,346,בית שאן,9200,עירייה,צפון,בית שאן,9200,0,12,443,53,72,321,47,455,606,18,15,22,324,462,46.840844291275019,7.386715701545306,202405,13946.166734252055903,7386715.701545305550098
-1,1047,בית שמש,2610,עירייה,ירושלים,בית שמש,2610,5,81,1238,286,285,854,94,1324,1674,79,49,40,841,1375,27.344003972420154,38.289930072275823,202405,49318.128042818112590,38289930.072275824844837
-1,3383,בני ברק,6100,עירייה,תל אביב,בני ברק,6100,11,157,3599,860,668,2352,398,3767,5405,535,192,280,2094,4288,460.366988318148856,7.348485199512368,202405,12598.811665282799368,7348485.199512368068099
-1,73,"בני עי""""ש",1066,מועצה מקומית,מרכז,"בני עי""""ש",1066,0,4,94,9,17,64,14,98,132,4,4,3,78,109,89.330128176221194,0.817193499,202405,6232.145234266112311,817193.498883077641949
-1,46,בית-קמה,598,מועצה אזורית,דרום,בני שמעון,5541,1,6,65,0,7,61,2,72,89,2,3,0,48,65,8.181004177628719,5.622781629398116,202405,13556.254119796791201,5622781.629398115910590
-1,40,ברוש,2060,מועצה אזורית,דרום,בני שמעון,5541,3,5,87,1,19,65,11,95,78,0,5,0,51,63,17.221524487371614,2.322674745161593,202405,8043.324550356531290,2322674.745161592960358
-1,8,גבעות בר,1344,מועצה אזורית,דרום,בני שמעון,5541,0,1,14,1,3,11,1,15,15,0,0,0,11,13,12.434947153529990,0.64334813,202405,4115.696959279503972,643348.130171103170142
-1,12,דבירה,849,מועצה אזורית,דרום,בני שמעון,5541,0,1,20,1,5,15,0,21,19,2,1,0,13,16,1.411894532355496,8.499218408318452,202405,13353.877745546469669,8499218.408318452537060
-1,17,חצרים,397,מועצה אזורית,דרום,בני שמעון,5541,0,1,19,1,4,14,1,20,22,7,0,1,8,19,2.115401886064636,8.036298025443173,202405,15187.534500657422541,8036298.025443173944950
-1,26,כרמים,1198,מועצה אזורית,דרום,בני שמעון,5541,0,1,39,0,11,24,2,40,48,0,2,0,20,33,4.094161112704675,6.350507291791442,202405,17860.856571046519093,6350507.291791441850364
-1,20,להב,2023,מועצה אזורית,דרום,בני שמעון,5541,0,4,28,0,4,24,4,32,37,1,0,2,24,30,2.360618133748204,8.472357182245259,202405,11760.435046251011954,8472357.182245260104537
